x,y,rssi_dbm,ruido_dbm,snr_db,frequencia_mhz,bssid,timestamp
0,0,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:26.587330
0,1,-42,-96,54,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:27.293347
0,2,-40,-96,56,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:27.509682
0,3,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:27.725087
0,4,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:27.915441
1,0,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:28.102400
1,1,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:28.301791
1,2,-41,-96,55,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:28.497943
1,3,-39,-96,57,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:28.698979
1,4,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:28.883454
2,0,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:29.079460
2,1,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:29.264564
2,2,-45,-96,51,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:29.456731
2,3,-45,-96,51,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:29.644360
2,4,-45,-96,51,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:29.827686
3,0,-40,-96,56,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:30.024787
3,1,-42,-96,54,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:30.221561
3,2,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:30.420955
3,3,-45,-96,51,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:30.620355
3,4,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:30.829650
4,0,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:31.051370
4,1,-42,-96,54,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:31.253480
4,2,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:31.459336
4,3,-44,-96,52,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:31.652666
4,4,-43,-96,53,5500,ac:b3:b5:f9:0e:58,2026-01-08 00:09:31.853527
