{'sinal_pct': 75, 'rssi_dbm': -62.5, 'ruido_dbm': -90, 'snr_db': 27.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 17, 620872), 'x': 0, 'y': 0}
{'sinal_pct': 62, 'rssi_dbm': -69.0, 'ruido_dbm': -90, 'snr_db': 21.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 21, 839853), 'x': 0, 'y': 1}
{'sinal_pct': 62, 'rssi_dbm': -69.0, 'ruido_dbm': -90, 'snr_db': 21.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 24, 736570), 'x': 0, 'y': 2}
{'sinal_pct': 62, 'rssi_dbm': -69.0, 'ruido_dbm': -90, 'snr_db': 21.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 27, 336847), 'x': 0, 'y': 3}
{'sinal_pct': 57, 'rssi_dbm': -71.5, 'ruido_dbm': -90, 'snr_db': 18.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 31, 938456), 'x': 0, 'y': 4}
{'sinal_pct': 57, 'rssi_dbm': -71.5, 'ruido_dbm': -90, 'snr_db': 18.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 42, 872597), 'x': 1, 'y': 0}
{'sinal_pct': 60, 'rssi_dbm': -70.0, 'ruido_dbm': -90, 'snr_db': 20.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 48, 859682), 'x': 1, 'y': 1}
{'sinal_pct': 67, 'rssi_dbm': -66.5, 'ruido_dbm': -90, 'snr_db': 23.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 51, 906283), 'x': 1, 'y': 2}
{'sinal_pct': 53, 'rssi_dbm': -73.5, 'ruido_dbm': -90, 'snr_db': 16.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 55, 132498), 'x': 1, 'y': 3}
{'sinal_pct': 53, 'rssi_dbm': -73.5, 'ruido_dbm': -90, 'snr_db': 16.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 19, 58, 677657), 'x': 1, 'y': 4}
{'sinal_pct': 70, 'rssi_dbm': -65.0, 'ruido_dbm': -90, 'snr_db': 25.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 7, 403561), 'x': 2, 'y': 0}
{'sinal_pct': 70, 'rssi_dbm': -65.0, 'ruido_dbm': -90, 'snr_db': 25.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 10, 946831), 'x': 2, 'y': 1}
{'sinal_pct': 70, 'rssi_dbm': -65.0, 'ruido_dbm': -90, 'snr_db': 25.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 14, 306290), 'x': 2, 'y': 2}
{'sinal_pct': 70, 'rssi_dbm': -65.0, 'ruido_dbm': -90, 'snr_db': 25.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 19, 29261), 'x': 2, 'y': 3}
{'sinal_pct': 86, 'rssi_dbm': -57.0, 'ruido_dbm': -90, 'snr_db': 33.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 24, 104527), 'x': 2, 'y': 4}
{'sinal_pct': 86, 'rssi_dbm': -57.0, 'ruido_dbm': -90, 'snr_db': 33.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 40, 451629), 'x': 3, 'y': 0}
{'sinal_pct': 86, 'rssi_dbm': -57.0, 'ruido_dbm': -90, 'snr_db': 33.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 50, 764449), 'x': 3, 'y': 1}
{'sinal_pct': 86, 'rssi_dbm': -57.0, 'ruido_dbm': -90, 'snr_db': 33.0, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 20, 54, 191306), 'x': 3, 'y': 2}
{'sinal_pct': 89, 'rssi_dbm': -55.5, 'ruido_dbm': -90, 'snr_db': 34.5, 'frequencia': '5 GHz', 'canal': 36, 'bssid': '8c:68:3a:97:8d:60', 'timestamp': datetime.datetime(2025, 12, 15, 18, 21, 1, 494266), 'x': 3, 'y': 3}
